topic,statementFirst,name1,name2,QUD,statement,choiceNameFirst,choice1,choice2
first,first,Agoriv,Denoden,Can you tell me something about Agoriv?,Agoriv is associated with Denoden.,Denoden,Denoden causes Agoriv.,Agoriv causes Denoden.
second,first,Agoriv,Denoden,Can you tell me something about Denoden?,Agoriv is associated with Denoden.,Denoden,Denoden causes Agoriv.,Agoriv causes Denoden.
first,second,Agoriv,Denoden,Can you tell me something about Agoriv?,Denoden is associated with Agoriv.,Denoden,Denoden causes Agoriv.,Agoriv causes Denoden.
second,second,Agoriv,Denoden,Can you tell me something about Denoden?,Denoden is associated with Agoriv.,Denoden,Denoden causes Agoriv.,Agoriv causes Denoden.
first,first,Agoriv,Flembers,Can you tell me something about Agoriv?,Agoriv is associated with Flembers.,Agoriv,Agoriv causes Flembers.,Flembers causes Agoriv.
second,first,Agoriv,Flembers,Can you tell me something about Flembers?,Agoriv is associated with Flembers.,Agoriv,Agoriv causes Flembers.,Flembers causes Agoriv.
first,second,Agoriv,Flembers,Can you tell me something about Agoriv?,Flembers is associated with Agoriv.,Agoriv,Agoriv causes Flembers.,Flembers causes Agoriv.
second,second,Agoriv,Flembers,Can you tell me something about Flembers?,Flembers is associated with Agoriv.,Agoriv,Agoriv causes Flembers.,Flembers causes Agoriv.
first,first,Agoriv,Flembers,Can you tell me something about Agoriv?,Agoriv is associated with Flembers.,Flembers,Flembers causes Agoriv.,Agoriv causes Flembers.
second,first,Agoriv,Flembers,Can you tell me something about Flembers?,Agoriv is associated with Flembers.,Flembers,Flembers causes Agoriv.,Agoriv causes Flembers.
first,second,Agoriv,Flembers,Can you tell me something about Agoriv?,Flembers is associated with Agoriv.,Flembers,Flembers causes Agoriv.,Agoriv causes Flembers.
second,second,Agoriv,Flembers,Can you tell me something about Flembers?,Flembers is associated with Agoriv.,Flembers,Flembers causes Agoriv.,Agoriv causes Flembers.
first,first,Agoriv,Ceflar,Can you tell me something about Agoriv?,Agoriv is associated with Ceflar.,Agoriv,Agoriv causes Ceflar.,Ceflar causes Agoriv.
second,first,Agoriv,Ceflar,Can you tell me something about Ceflar?,Agoriv is associated with Ceflar.,Agoriv,Agoriv causes Ceflar.,Ceflar causes Agoriv.
first,second,Agoriv,Ceflar,Can you tell me something about Agoriv?,Ceflar is associated with Agoriv.,Agoriv,Agoriv causes Ceflar.,Ceflar causes Agoriv.
second,second,Agoriv,Ceflar,Can you tell me something about Ceflar?,Ceflar is associated with Agoriv.,Agoriv,Agoriv causes Ceflar.,Ceflar causes Agoriv.
first,first,Agoriv,Ceflar,Can you tell me something about Agoriv?,Agoriv is associated with Ceflar.,Ceflar,Ceflar causes Agoriv.,Agoriv causes Ceflar.
second,first,Agoriv,Ceflar,Can you tell me something about Ceflar?,Agoriv is associated with Ceflar.,Ceflar,Ceflar causes Agoriv.,Agoriv causes Ceflar.
first,second,Agoriv,Ceflar,Can you tell me something about Agoriv?,Ceflar is associated with Agoriv.,Ceflar,Ceflar causes Agoriv.,Agoriv causes Ceflar.
second,second,Agoriv,Ceflar,Can you tell me something about Ceflar?,Ceflar is associated with Agoriv.,Ceflar,Ceflar causes Agoriv.,Agoriv causes Ceflar.
first,first,Ceflar,Themaglin,Can you tell me something about Ceflar?,Ceflar is associated with Themaglin.,Ceflar,Ceflar causes Themaglin.,Themaglin causes Ceflar.
second,first,Ceflar,Themaglin,Can you tell me something about Themaglin?,Ceflar is associated with Themaglin.,Ceflar,Ceflar causes Themaglin.,Themaglin causes Ceflar.
first,second,Ceflar,Themaglin,Can you tell me something about Ceflar?,Themaglin is associated with Ceflar.,Ceflar,Ceflar causes Themaglin.,Themaglin causes Ceflar.
second,second,Ceflar,Themaglin,Can you tell me something about Themaglin?,Themaglin is associated with Ceflar.,Ceflar,Ceflar causes Themaglin.,Themaglin causes Ceflar.
first,first,Ceflar,Themaglin,Can you tell me something about Ceflar?,Ceflar is associated with Themaglin.,Themaglin,Themaglin causes Ceflar.,Ceflar causes Themaglin.
second,first,Ceflar,Themaglin,Can you tell me something about Themaglin?,Ceflar is associated with Themaglin.,Themaglin,Themaglin causes Ceflar.,Ceflar causes Themaglin.
first,second,Ceflar,Themaglin,Can you tell me something about Ceflar?,Themaglin is associated with Ceflar.,Themaglin,Themaglin causes Ceflar.,Ceflar causes Themaglin.
second,second,Ceflar,Themaglin,Can you tell me something about Themaglin?,Themaglin is associated with Ceflar.,Themaglin,Themaglin causes Ceflar.,Ceflar causes Themaglin.
first,first,Ceflar,Rebosen,Can you tell me something about Ceflar?,Ceflar is associated with Rebosen.,Ceflar,Ceflar causes Rebosen.,Rebosen causes Ceflar.
second,first,Ceflar,Rebosen,Can you tell me something about Rebosen?,Ceflar is associated with Rebosen.,Ceflar,Ceflar causes Rebosen.,Rebosen causes Ceflar.
first,second,Ceflar,Rebosen,Can you tell me something about Ceflar?,Rebosen is associated with Ceflar.,Ceflar,Ceflar causes Rebosen.,Rebosen causes Ceflar.
second,second,Ceflar,Rebosen,Can you tell me something about Rebosen?,Rebosen is associated with Ceflar.,Ceflar,Ceflar causes Rebosen.,Rebosen causes Ceflar.
first,first,Ceflar,Rebosen,Can you tell me something about Ceflar?,Ceflar is associated with Rebosen.,Rebosen,Rebosen causes Ceflar.,Ceflar causes Rebosen.
second,first,Ceflar,Rebosen,Can you tell me something about Rebosen?,Ceflar is associated with Rebosen.,Rebosen,Rebosen causes Ceflar.,Ceflar causes Rebosen.
first,second,Ceflar,Rebosen,Can you tell me something about Ceflar?,Rebosen is associated with Ceflar.,Rebosen,Rebosen causes Ceflar.,Ceflar causes Rebosen.
second,second,Ceflar,Rebosen,Can you tell me something about Rebosen?,Rebosen is associated with Ceflar.,Rebosen,Rebosen causes Ceflar.,Ceflar causes Rebosen.
first,first,Ceflar,Denoden,Can you tell me something about Ceflar?,Ceflar is associated with Denoden.,Ceflar,Ceflar causes Denoden.,Denoden causes Ceflar.
second,first,Ceflar,Denoden,Can you tell me something about Denoden?,Ceflar is associated with Denoden.,Ceflar,Ceflar causes Denoden.,Denoden causes Ceflar.
first,second,Ceflar,Denoden,Can you tell me something about Ceflar?,Denoden is associated with Ceflar.,Ceflar,Ceflar causes Denoden.,Denoden causes Ceflar.
second,second,Ceflar,Denoden,Can you tell me something about Denoden?,Denoden is associated with Ceflar.,Ceflar,Ceflar causes Denoden.,Denoden causes Ceflar.
first,first,Ceflar,Denoden,Can you tell me something about Ceflar?,Ceflar is associated with Denoden.,Denoden,Denoden causes Ceflar.,Ceflar causes Denoden.
second,first,Ceflar,Denoden,Can you tell me something about Denoden?,Ceflar is associated with Denoden.,Denoden,Denoden causes Ceflar.,Ceflar causes Denoden.
first,second,Ceflar,Denoden,Can you tell me something about Ceflar?,Denoden is associated with Ceflar.,Denoden,Denoden causes Ceflar.,Ceflar causes Denoden.
second,second,Ceflar,Denoden,Can you tell me something about Denoden?,Denoden is associated with Ceflar.,Denoden,Denoden causes Ceflar.,Ceflar causes Denoden.
first,first,Ceflar,Flembers,Can you tell me something about Ceflar?,Ceflar is associated with Flembers.,Ceflar,Ceflar causes Flembers.,Flembers causes Ceflar.
second,first,Ceflar,Flembers,Can you tell me something about Flembers?,Ceflar is associated with Flembers.,Ceflar,Ceflar causes Flembers.,Flembers causes Ceflar.
first,second,Ceflar,Flembers,Can you tell me something about Ceflar?,Flembers is associated with Ceflar.,Ceflar,Ceflar causes Flembers.,Flembers causes Ceflar.
second,second,Ceflar,Flembers,Can you tell me something about Flembers?,Flembers is associated with Ceflar.,Ceflar,Ceflar causes Flembers.,Flembers causes Ceflar.
first,first,Ceflar,Flembers,Can you tell me something about Ceflar?,Ceflar is associated with Flembers.,Flembers,Flembers causes Ceflar.,Ceflar causes Flembers.
second,first,Ceflar,Flembers,Can you tell me something about Flembers?,Ceflar is associated with Flembers.,Flembers,Flembers causes Ceflar.,Ceflar causes Flembers.
first,second,Ceflar,Flembers,Can you tell me something about Ceflar?,Flembers is associated with Ceflar.,Flembers,Flembers causes Ceflar.,Ceflar causes Flembers.
second,second,Ceflar,Flembers,Can you tell me something about Flembers?,Flembers is associated with Ceflar.,Flembers,Flembers causes Ceflar.,Ceflar causes Flembers.
first,first,Ceflar,Agoriv,Can you tell me something about Ceflar?,Ceflar is associated with Agoriv.,Ceflar,Ceflar causes Agoriv.,Agoriv causes Ceflar.
second,first,Ceflar,Agoriv,Can you tell me something about Agoriv?,Ceflar is associated with Agoriv.,Ceflar,Ceflar causes Agoriv.,Agoriv causes Ceflar.
first,second,Ceflar,Agoriv,Can you tell me something about Ceflar?,Agoriv is associated with Ceflar.,Ceflar,Ceflar causes Agoriv.,Agoriv causes Ceflar.
second,second,Ceflar,Agoriv,Can you tell me something about Agoriv?,Agoriv is associated with Ceflar.,Ceflar,Ceflar causes Agoriv.,Agoriv causes Ceflar.
first,first,Ceflar,Agoriv,Can you tell me something about Ceflar?,Ceflar is associated with Agoriv.,Agoriv,Agoriv causes Ceflar.,Ceflar causes Agoriv.
second,first,Ceflar,Agoriv,Can you tell me something about Agoriv?,Ceflar is associated with Agoriv.,Agoriv,Agoriv causes Ceflar.,Ceflar causes Agoriv.
first,second,Ceflar,Agoriv,Can you tell me something about Ceflar?,Agoriv is associated with Ceflar.,Agoriv,Agoriv causes Ceflar.,Ceflar causes Agoriv.
second,second,Ceflar,Agoriv,Can you tell me something about Agoriv?,Agoriv is associated with Ceflar.,Agoriv,Agoriv causes Ceflar.,Ceflar causes Agoriv.
