targeted,itemType,name1,name2,prompt,choiceNameFirst,choice1,choice2
second,having,Ceflar,Rebosen,Ceflar is associated with getting Rebosen.,Ceflar,Ceflar causes Rebosen.,Rebosen causes Ceflar.
second,getting,Ceflar,Rebosen,Ceflar is associated with having Rebosen.,Ceflar,Ceflar causes Rebosen.,Rebosen causes Ceflar.
second,having,Ceflar,Rebosen,Ceflar is associated with getting Rebosen.,Rebosen,Rebosen causes Ceflar.,Ceflar causes Rebosen.
second,getting,Ceflar,Rebosen,Ceflar is associated with having Rebosen.,Rebosen,Rebosen causes Ceflar.,Ceflar causes Rebosen.
first,having,Ceflar,Denoden,Having Ceflar is associated with Denoden.,Ceflar,Ceflar causes Denoden.,Denoden causes Ceflar.
first,getting,Ceflar,Denoden,Getting Ceflar is associated with Denoden.,Ceflar,Ceflar causes Denoden.,Denoden causes Ceflar.
first,having,Ceflar,Denoden,Having Ceflar is associated with Denoden.,Denoden,Denoden causes Ceflar.,Ceflar causes Denoden.
first,getting,Ceflar,Denoden,Getting Ceflar is associated with Denoden.,Denoden,Denoden causes Ceflar.,Ceflar causes Denoden.
second,having,Ceflar,Denoden,Ceflar is associated with getting Denoden.,Ceflar,Ceflar causes Denoden.,Denoden causes Ceflar.
second,getting,Ceflar,Denoden,Ceflar is associated with having Denoden.,Ceflar,Ceflar causes Denoden.,Denoden causes Ceflar.
second,having,Ceflar,Denoden,Ceflar is associated with getting Denoden.,Denoden,Denoden causes Ceflar.,Ceflar causes Denoden.
second,getting,Ceflar,Denoden,Ceflar is associated with having Denoden.,Denoden,Denoden causes Ceflar.,Ceflar causes Denoden.
first,having,Ceflar,Flembers,Having Ceflar is associated with Flembers.,Ceflar,Ceflar causes Flembers.,Flembers causes Ceflar.
first,getting,Ceflar,Flembers,Getting Ceflar is associated with Flembers.,Ceflar,Ceflar causes Flembers.,Flembers causes Ceflar.
first,having,Ceflar,Flembers,Having Ceflar is associated with Flembers.,Flembers,Flembers causes Ceflar.,Ceflar causes Flembers.
first,getting,Ceflar,Flembers,Getting Ceflar is associated with Flembers.,Flembers,Flembers causes Ceflar.,Ceflar causes Flembers.
second,having,Ceflar,Flembers,Ceflar is associated with getting Flembers.,Ceflar,Ceflar causes Flembers.,Flembers causes Ceflar.
second,getting,Ceflar,Flembers,Ceflar is associated with having Flembers.,Ceflar,Ceflar causes Flembers.,Flembers causes Ceflar.
second,having,Ceflar,Flembers,Ceflar is associated with getting Flembers.,Flembers,Flembers causes Ceflar.,Ceflar causes Flembers.
second,getting,Ceflar,Flembers,Ceflar is associated with having Flembers.,Flembers,Flembers causes Ceflar.,Ceflar causes Flembers.
first,having,Ceflar,Agoriv,Having Ceflar is associated with Agoriv.,Ceflar,Ceflar causes Agoriv.,Agoriv causes Ceflar.
first,getting,Ceflar,Agoriv,Getting Ceflar is associated with Agoriv.,Ceflar,Ceflar causes Agoriv.,Agoriv causes Ceflar.
first,having,Ceflar,Agoriv,Having Ceflar is associated with Agoriv.,Agoriv,Agoriv causes Ceflar.,Ceflar causes Agoriv.
first,getting,Ceflar,Agoriv,Getting Ceflar is associated with Agoriv.,Agoriv,Agoriv causes Ceflar.,Ceflar causes Agoriv.
second,having,Ceflar,Agoriv,Ceflar is associated with getting Agoriv.,Ceflar,Ceflar causes Agoriv.,Agoriv causes Ceflar.
second,getting,Ceflar,Agoriv,Ceflar is associated with having Agoriv.,Ceflar,Ceflar causes Agoriv.,Agoriv causes Ceflar.
second,having,Ceflar,Agoriv,Ceflar is associated with getting Agoriv.,Agoriv,Agoriv causes Ceflar.,Ceflar causes Agoriv.
second,getting,Ceflar,Agoriv,Ceflar is associated with having Agoriv.,Agoriv,Agoriv causes Ceflar.,Ceflar causes Agoriv.
